seed,experiment,removed_type,removed_name,kept_features,feature_count,acc,prec,rec,f1,auc,tp,tn,fp,fn,threshold,threshold_source,delta_f1,delta_auc
45,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,1.0,2169,3861,0,2,0.18,artifact,0.00023046782526914278,-4.020409363558741e-05
46,drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999770944036259,2170,3861,0,1,0.18,artifact,0.0,-4.831649235148561e-05
46,drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999266305116143,2170,3861,0,1,0.18,artifact,0.0,2.1473996600906986e-06
46,drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9997295469428126,2170,3861,0,1,0.18,artifact,0.0,0.00019923096846186095
46,drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999287779112744,2170,3861,0,1,0.18,artifact,0.0,0.0
46,drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999954666007176,2170,3861,0,1,0.18,artifact,0.0,-6.668868944315065e-05
46,drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999938799109688,2170,3861,0,1,0.18,artifact,0.0,-1.0021198413534549e-05
46,drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998907212172987,2170,3861,0,1,0.18,artifact,0.0,3.805669397571876e-05
46,drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999999880700019,2170,3861,0,1,0.18,artifact,0.0,-7.110278874455922e-05
46,drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.999953353707384,2170,3861,0,1,0.18,artifact,0.0,-2.4575796109593817e-05
46,drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999951087007742,2170,3861,0,1,0.18,artifact,0.0,-6.63307894998022e-05
46,drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999745891040225,2170,3861,0,1,0.18,artifact,0.0,-4.581119274804646e-05
46,drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,1.0,2169,3861,0,2,0.18,artifact,0.00023046782526914278,-7.122208872556435e-05
